"Y";"Y_L1";"Y_L2";"Y_L3";"Y_L4";"Y_L5";"Y_L6";"Y_L7";"Y_L8";"Y_L9";"Y_L10";"Y_L11";"F1";"F1_L1";"F1_L2";"F1_L3";"F1_L4";"F1_L5";"F1_L6";"F1_L7";"F1_L8";"F1_L9";"F1_L10";"F1_L11";"F2";"F2_L1";"F2_L2";"F2_L3";"F2_L4";"F2_L5";"F2_L6";"F2_L7";"F2_L8";"F2_L9";"F2_L10";"F2_L11";"F3";"F3_L1";"F3_L2";"F3_L3";"F3_L4";"F3_L5";"F3_L6";"F3_L7";"F3_L8";"F3_L9";"F3_L10";"F3_L11";"F4";"F4_L1";"F4_L2";"F4_L3";"F4_L4";"F4_L5";"F4_L6";"F4_L7";"F4_L8";"F4_L9";"F4_L10";"F4_L11";"F5";"F5_L1";"F5_L2";"F5_L3";"F5_L4";"F5_L5";"F5_L6";"F5_L7";"F5_L8";"F5_L9";"F5_L10";"F5_L11";"F6";"F6_L1";"F6_L2";"F6_L3";"F6_L4";"F6_L5";"F6_L6";"F6_L7";"F6_L8";"F6_L9";"F6_L10";"F6_L11";"F7";"F7_L1";"F7_L2";"F7_L3";"F7_L4";"F7_L5";"F7_L6";"F7_L7";"F7_L8";"F7_L9";"F7_L10";"F7_L11";"F8";"F8_L1";"F8_L2";"F8_L3";"F8_L4";"F8_L5";"F8_L6";"F8_L7";"F8_L8";"F8_L9";"F8_L10";"F8_L11";"MEU1";"MEU1_L1";"MEU1_L2";"MEU1_L3";"MEU1_L4";"MEU1_L5";"MEU1_L6";"MEU1_L7";"MEU1_L8";"MEU1_L9";"MEU1_L10";"MEU1_L11";"MEU3";"MEU3_L1";"MEU3_L2";"MEU3_L3";"MEU3_L4";"MEU3_L5";"MEU3_L6";"MEU3_L7";"MEU3_L8";"MEU3_L9";"MEU3_L10";"MEU3_L11";"MEU12";"MEU12_L1";"MEU12_L2";"MEU12_L3";"MEU12_L4";"MEU12_L5";"MEU12_L6";"MEU12_L7";"MEU12_L8";"MEU12_L9";"MEU12_L10";"MEU12_L11";"FEU1";"FEU1_L1";"FEU1_L2";"FEU1_L3";"FEU1_L4";"FEU1_L5";"FEU1_L6";"FEU1_L7";"FEU1_L8";"FEU1_L9";"FEU1_L10";"FEU1_L11";"FEU3";"FEU3_L1";"FEU3_L2";"FEU3_L3";"FEU3_L4";"FEU3_L5";"FEU3_L6";"FEU3_L7";"FEU3_L8";"FEU3_L9";"FEU3_L10";"FEU3_L11";"FEU12";"FEU12_L1";"FEU12_L2";"FEU12_L3";"FEU12_L4";"FEU12_L5";"FEU12_L6";"FEU12_L7";"FEU12_L8";"FEU12_L9";"FEU12_L10";"FEU12_L11"
0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767;-0,278;-0,035;-0,32;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-2,096789352;-0,866561662;0,428026582;1,449821742;1,801368788;2,58978682;3,221601653;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;2,233947891;2,187664066;1,972744631;2,041069165;2,113317364;2,021366578;1,749473053;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;2,733318387;2,585579178;2,343948678;1,94908055;1,938742116;1,559765253;1,312186401;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;0,03531151;-0,060334225;-0,032846195;0,10536493;0,185030698;0,071792059;-0,049470336;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;-0,0295601449999999;-0,140674689;-0,458700646;-0,536874635;-0,132122856;-0,027585985;0,158780329;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;1,03719131;1,365576895;1,749837083;2,071003192;2,393813505;2,457035767;2,487852722;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-0,865138792;-0,796296105;-0,596138891;-0,778721936;-0,82642573;-0,981150365;-0,868332254;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;-0,065532741;-0,202850205;-0,295655534;-0,43160085;-0,530026552;-0,602405759;-0,576858655;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;7,657635717;7,738305468;7,789508371;7,803348357;7,804420683;7,798858727;7,779240888;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,170054759;9,23272218;9,271342533;9,279714413;9,274514162;9,260023869;9,235363691;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;10,459085781;10,493060712;10,514217855;10,520687706;10,517279942;10,504866465;10,488581644;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;10,032872746;10,06836731;10,117765961;10,186415639;10,283483175;10,372462278;10,444393676;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;10,713287056;10,739490774;10,778083628;10,830552684;10,903189368;10,969836839;11,025234664;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901;11,580122525;11,585413295;11,595745166;11,610083493;11,629984053;11,648693623;11,665418426
0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767;-0,278;-0,035;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-2,096789352;-0,866561662;0,428026582;1,449821742;1,801368788;2,58978682;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;2,233947891;2,187664066;1,972744631;2,041069165;2,113317364;2,021366578;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;2,733318387;2,585579178;2,343948678;1,94908055;1,938742116;1,559765253;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;0,03531151;-0,060334225;-0,032846195;0,10536493;0,185030698;0,071792059;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;-0,0295601449999999;-0,140674689;-0,458700646;-0,536874635;-0,132122856;-0,027585985;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;1,03719131;1,365576895;1,749837083;2,071003192;2,393813505;2,457035767;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-0,865138792;-0,796296105;-0,596138891;-0,778721936;-0,82642573;-0,981150365;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;-0,065532741;-0,202850205;-0,295655534;-0,43160085;-0,530026552;-0,602405759;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;7,657635717;7,738305468;7,789508371;7,803348357;7,804420683;7,798858727;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,170054759;9,23272218;9,271342533;9,279714413;9,274514162;9,260023869;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;10,459085781;10,493060712;10,514217855;10,520687706;10,517279942;10,504866465;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;10,032872746;10,06836731;10,117765961;10,186415639;10,283483175;10,372462278;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;10,713287056;10,739490774;10,778083628;10,830552684;10,903189368;10,969836839;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901;11,580122525;11,585413295;11,595745166;11,610083493;11,629984053;11,648693623
0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767;-0,278;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-2,096789352;-0,866561662;0,428026582;1,449821742;1,801368788;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;2,233947891;2,187664066;1,972744631;2,041069165;2,113317364;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;2,733318387;2,585579178;2,343948678;1,94908055;1,938742116;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;0,03531151;-0,060334225;-0,032846195;0,10536493;0,185030698;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;-0,0295601449999999;-0,140674689;-0,458700646;-0,536874635;-0,132122856;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;1,03719131;1,365576895;1,749837083;2,071003192;2,393813505;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-0,865138792;-0,796296105;-0,596138891;-0,778721936;-0,82642573;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;-0,065532741;-0,202850205;-0,295655534;-0,43160085;-0,530026552;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;7,657635717;7,738305468;7,789508371;7,803348357;7,804420683;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,170054759;9,23272218;9,271342533;9,279714413;9,274514162;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;10,459085781;10,493060712;10,514217855;10,520687706;10,517279942;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;10,032872746;10,06836731;10,117765961;10,186415639;10,283483175;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;10,713287056;10,739490774;10,778083628;10,830552684;10,903189368;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901;11,580122525;11,585413295;11,595745166;11,610083493;11,629984053
0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-0,767;-2,130223736;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-2,096789352;-0,866561662;0,428026582;1,449821742;0,203422171;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;2,233947891;2,187664066;1,972744631;2,041069165;1,139780733;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;2,733318387;2,585579178;2,343948678;1,94908055;0,184737741;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;0,03531151;-0,060334225;-0,032846195;0,10536493;-1,119733447;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;-0,0295601449999999;-0,140674689;-0,458700646;-0,536874635;-0,409157918;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;1,03719131;1,365576895;1,749837083;2,071003192;-1,223804079;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-0,865138792;-0,796296105;-0,596138891;-0,778721936;-1,171492135;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;-0,065532741;-0,202850205;-0,295655534;-0,43160085;7,156528284;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;7,657635717;7,738305468;7,789508371;7,803348357;8,716113603;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,170054759;9,23272218;9,271342533;9,279714413;10,13271321;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;10,459085781;10,493060712;10,514217855;10,520687706;11,205984179;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;10,032872746;10,06836731;10,117765961;10,186415639;11,630063656;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;10,713287056;10,739490774;10,778083628;10,830552684;11,879801025;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901;11,580122525;11,585413295;11,595745166;11,610083493
-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-0,965;-2,308292209;-2,130223736;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-2,096789352;-0,866561662;0,428026582;0,407698298;0,203422171;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;2,233947891;2,187664066;1,972744631;0,957938785;1,139780733;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;2,733318387;2,585579178;2,343948678;0,163148027;0,184737741;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;0,03531151;-0,060334225;-0,032846195;-0,694729098;-1,119733447;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;-0,0295601449999999;-0,140674689;-0,458700646;-0,332690264;-0,409157918;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;1,03719131;1,365576895;1,749837083;-1,441046031;-1,223804079;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-0,865138792;-0,796296105;-0,596138891;-1,199410875;-1,171492135;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;-0,065532741;-0,202850205;-0,295655534;7,093289164;7,156528284;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;7,657635717;7,738305468;7,789508371;8,655583684;8,716113603;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,170054759;9,23272218;9,271342533;10,088743066;10,13271321;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;10,459085781;10,493060712;10,514217855;11,405110881;11,205984179;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;10,032872746;10,06836731;10,117765961;11,783980871;11,630063656;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;10,713287056;10,739490774;10,778083628;11,926053641;11,879801025;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901;11,580122525;11,585413295;11,595745166
-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;0,227;-1,686415127;-2,308292209;-2,130223736;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-2,096789352;-0,866561662;-0,142486529;0,407698298;0,203422171;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;2,233947891;2,187664066;0,999731694;0,957938785;1,139780733;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;2,733318387;2,585579178;0,11627213;0,163148027;0,184737741;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;0,03531151;-0,060334225;-0,836193623;-0,694729098;-1,119733447;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;-0,0295601449999999;-0,140674689;-0,302399446;-0,332690264;-0,409157918;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;1,03719131;1,365576895;-1,282767349;-1,441046031;-1,223804079;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-0,865138792;-0,796296105;-1,29497519;-1,199410875;-1,171492135;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;-0,065532741;-0,202850205;7,028210138;7,093289164;7,156528284;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;7,657635717;7,738305468;8,593378551;8,655583684;8,716113603;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,170054759;9,23272218;10,044753755;10,088743066;10,13271321;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;10,459085781;10,493060712;11,591137048;11,405110881;11,205984179;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;10,032872746;10,06836731;11,92736427;11,783980871;11,630063656;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;10,713287056;10,739490774;11,967979937;11,926053641;11,879801025;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901;11,580122525;11,585413295
-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;0,436;-1,164375465;-1,686415127;-2,308292209;-2,130223736;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-2,096789352;-0,092270369;-0,142486529;0,407698298;0,203422171;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;2,233947891;0,702841542;0,999731694;0,957938785;1,139780733;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;2,733318387;0,012966014;0,11627213;0,163148027;0,184737741;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;0,03531151;-0,939335133;-0,836193623;-0,694729098;-1,119733447;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;-0,0295601449999999;-0,040253427;-0,302399446;-0,332690264;-0,409157918;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;1,03719131;-1,252022941;-1,282767349;-1,441046031;-1,223804079;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-0,865138792;-1,243841656;-1,29497519;-1,199410875;-1,171492135;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;-0,065532741;6,974043622;7,028210138;7,093289164;7,156528284;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;7,657635717;8,53743791;8,593378551;8,655583684;8,716113603;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,170054759;10,001841686;10,044753755;10,088743066;10,13271321;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;10,459085781;11,784323351;11,591137048;11,405110881;11,205984179;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;10,032872746;12,073827967;11,92736427;11,783980871;11,630063656;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;10,713287056;12,008323381;11,967979937;11,926053641;11,879801025;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901;11,580122525
-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;0,37;-0,792740568;-1,164375465;-1,686415127;-2,308292209;-2,130223736;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-2,415899629;-0,306570598;-0,092270369;-0,142486529;0,407698298;0,203422171;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;1,951666935;0,623552287;0,702841542;0,999731694;0,957938785;1,139780733;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;2,389584251;-0,136239453;0,012966014;0,11627213;0,163148027;0,184737741;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;0,208747419;-0,867554147;-0,939335133;-0,836193623;-0,694729098;-1,119733447;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;-0,417892544;0,057522136;-0,040253427;-0,302399446;-0,332690264;-0,409157918;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;0,593378528;-1,073107253;-1,252022941;-1,282767349;-1,441046031;-1,223804079;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-0,895848212;-1,172509628;-1,243841656;-1,29497519;-1,199410875;-1,171492135;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;-0,052860631;6,928448881;6,974043622;7,028210138;7,093289164;7,156528284;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;7,594345674;8,484909663;8,53743791;8,593378551;8,655583684;8,716113603;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,114647062;9,958316283;10,001841686;10,044753755;10,088743066;10,13271321;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;10,421552801;11,899246786;11,784323351;11,591137048;11,405110881;11,205984179;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;10,003919702;12,160731799;12,073827967;11,92736427;11,783980871;11,630063656;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;10,694744707;12,030477319;12,008323381;11,967979937;11,926053641;11,879801025;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701;11,579421901
-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;0,2;-0,982983541;-0,792740568;-1,164375465;-1,686415127;-2,308292209;-2,130223736;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-3,373718761;-0,051360935;-0,306570598;-0,092270369;-0,142486529;0,407698298;0,203422171;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;1,894129007;0,602089338;0,623552287;0,702841542;0,999731694;0,957938785;1,139780733;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;2,551977256;-0,255826063;-0,136239453;0,012966014;0,11627213;0,163148027;0,184737741;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;0,181099864;-0,335926143;-0,867554147;-0,939335133;-0,836193623;-0,694729098;-1,119733447;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;-0,521495408;0,256240788;0,057522136;-0,040253427;-0,302399446;-0,332690264;-0,409157918;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;0,137127451;-1,137925304;-1,073107253;-1,252022941;-1,282767349;-1,441046031;-1,223804079;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,966219548;-1,136186681;-1,172509628;-1,243841656;-1,29497519;-1,199410875;-1,171492135;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;-0,349057205;6,876570183;6,928448881;6,974043622;7,028210138;7,093289164;7,156528284;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;7,535835858;8,424743039;8,484909663;8,53743791;8,593378551;8,655583684;8,716113603;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,061889762;9,911521261;9,958316283;10,001841686;10,044753755;10,088743066;10,13271321;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;10,380921721;11,952719237;11,899246786;11,784323351;11,591137048;11,405110881;11,205984179;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;10,017836017;12,1985805;12,160731799;12,073827967;11,92736427;11,783980871;11,630063656;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;10,709943704;12,03621778;12,030477319;12,008323381;11,967979937;11,926053641;11,879801025;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939;11,589456701
-0,693;-1,071;-1,014;-0,87;-0,366;-0,246;0,24;0,407;0,462;0,258;0,0590000000000001;-0,203;-0,636700372;-0,982983541;-0,792740568;-1,164375465;-1,686415127;-2,308292209;-2,130223736;-2,673616924;-2,665205675;-3,250493229;-3,706371851;-3,553079026;-0,172817495;-0,051360935;-0,306570598;-0,092270369;-0,142486529;0,407698298;0,203422171;0,146931784;0,329250748;0,812867112;1,196594794;1,594931978;0,517883884;0,602089338;0,623552287;0,702841542;0,999731694;0,957938785;1,139780733;1,617746371;1,656060436;1,928185229;2,024872756;2,376713405;-0,264562388;-0,255826063;-0,136239453;0,012966014;0,11627213;0,163148027;0,184737741;0,303422087;0,366876277;0,217187243;0,149054349;0,270685323;-0,214147457;-0,335926143;-0,867554147;-0,939335133;-0,836193623;-0,694729098;-1,119733447;-1,146315313;-1,307552801;-1,100469922;-0,861035126;-0,657729611;0,46855931;0,256240788;0,057522136;-0,040253427;-0,302399446;-0,332690264;-0,409157918;-0,502407827;-0,593695045;-0,451507543;-0,49267527;-0,230261288;-1,203838229;-1,137925304;-1,073107253;-1,252022941;-1,282767349;-1,441046031;-1,223804079;-1,106135128;-1,342272384;-1,103602863;-0,942723462;-1,095159482;-0,957181834;-1,136186681;-1,172509628;-1,243841656;-1,29497519;-1,199410875;-1,171492135;-0,879954315;-1,027121825;-1,037830438;-0,949861765;-0,061480407;6,817797971;6,876570183;6,928448881;6,974043622;7,028210138;7,093289164;7,156528284;7,212886761;7,266461872;7,32400555;7,387290026;7,464594415;8,355960408;8,424743039;8,484909663;8,53743791;8,593378551;8,655583684;8,716113603;8,772384416;8,824669569;8,87753873;8,933426373;8,998497246;9,861789386;9,911521261;9,958316283;10,001841686;10,044753755;10,088743066;10,13271321;10,175636406;10,215688877;10,254765953;10,294385379;10,337012527;11,916167883;11,952719237;11,899246786;11,784323351;11,591137048;11,405110881;11,205984179;11,00206534;10,77066961;10,529344258;10,285643295;10,103853626;12,167978134;12,1985805;12,160731799;12,073827967;11,92736427;11,783980871;11,630063656;11,471398532;11,292463973;11,106509007;10,92043103;10,779489674;12,022017757;12,03621778;12,030477319;12,008323381;11,967979937;11,926053641;11,879801025;11,830641928;11,774997944;11,716859403;11,659824189;11,614940939
